score,tweet
0.938,How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##
0.896,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted 
0.896,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice
0.896,so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######
0.896,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming"
0.875,My blood is boiling
0.875,When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt
0.875,"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming"
0.875,"@TeamShanny legit why i am so furious with him, people are such fucking idiots."
0.875,How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. 
0.667,im so mad about power rangers. im incensed. im furious.
0.854,Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming
0.854,Bitches aggravate like what inspires you to be the biggest cunt known to man kind?
0.938,"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging"
0.854,Fuking fuming 😤
0.854,Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing
0.854,@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.
0.833,"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell."
0.833,why are people so offended by kendall he ends photo shoot like seriously shut the fuck up
0.812,I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn 
0.812,Making my buddy cry !! Bitch wait for revenge 🤗👌🏻
0.891,Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult
0.812,I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault
