score,tweet
0.98,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious
0.958,Oh dear an evening of absolute hilarity I don't think I have laughed so much in a long time! 😂
0.94,Been waiting all week for this game ❤️❤️❤️ #cheer #friday ❤️
0.938,"@gardiner_love : Thank you so much, Gloria! You're so sweet, and thoughtful! You just made my day more joyful! I love you too! 😊💕"
0.938,"I feel so blessed to work with the family that I nanny for ❤️ nothing but love &amp; appreciation, makes me smile."
0.926,"Today I reached 1000 subscribers on YT!! , #goodday, #thankful"
0.924,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey #laughter #smile"
0.922,"#BridgetJonesBaby is the best thing I've seen in ages! So funny, I've missed Bridget! #love  #TeamMark"
0.92,Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much 
0.917,"@IndyMN I thought the holidays could not get any more cheerful, and then I met you. #TheNiceBot"
0.917,I'm just still . So happy .\nA blast
0.917,It's meant to be!! #happy #happy
0.917,💥⚖️Yeah‼️ PAUL‼️⚖️💥  #glorious #BB18
0.917,My morning started off amazing!! Hopefully the whole day is going as i want it to go!\n #GreatDay 
0.9,😱 @cailamarsai you've had me 😂 😂 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo
0.896,@iamTinaDatta love you so much #smile 😊😊
0.896,"@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!"
0.88,2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! #smiling
0.879,@TheMandyMoore You are beyond wonderful.  Your singing prowess is phenomenal but damn... I'm just elated to watch you act again. #ThisIsUs 珞
0.877,"@luckiiCHARM_ Luckii, I'm changing in so many ways bc of Him!! It's a scary but joyful feeling, making me so strong."
0.875,@JoshNoneYaBiz I love parody accounts! Well done. Vote for #Trump. #lol #hilarious
0.875,"When you wake up from a dream laughing at something stupid, and that makes you laugh more #hilarious"
0.875,"now that I have my future planned out, I feel so much happier #goals #life #happy #igotthis #yay"
0.875,Online now !!!:) all day come play with me !! I'm happy happy horny playful sweet sour;)
0.872,@grahnort wonderful experience watching you yesterday at. @BBCLetItShine thankyou for the #laughter
0.868,@itsyourgirl_Z happy birthday :) have a blessed day love from Toronto :) #bday 
0.864,@WSJNordics You make the world a more joyful place. #TheNiceBot
0.863,Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:)
0.86,"@Singaholic121 Good morning, love! Happy first day of fall. Let's make some awesome #autumnmemories #annabailey  "
0.86,It's the #FirstDayofFall and I'm so happy. Sipping my #PumpkinSpice flavored coffee and #smiling! Happy Fall everyone! #amwriting
0.86,Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed #rejoice
0.854,@ADenkyirah Happy birthday! Hope you have a wonderful day filled with lots of joy and laughter &lt;3 (despite tumblr being a jerk- once again)
0.854,LOVE LOVE LOVE  #fun #relaxationiskey
0.854,"This is the day You've made, \n\nLet us rehoi rejoice and be glad with all that I am. \n\n😊💖\n\n#aja \nGood morning!!!!"
