score,tweet
0.958,Depression sucks! #depression
0.958,Feeling worthless as always #depression
0.958,Feeling worthless as always 
0.946,My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression
0.934,Im think ima lay in bed all day and sulk. Life is hitting me to hard rn
0.917,So when I try I fail... and when I don't try... I still fail... #confused and #lost
0.917,Extreme sadness
0.917,my life in one word is depressing
0.917,Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression
0.896,Feel so grim + ugly atm
0.896,Honestly depression is kicking my ass lately.. 😔
0.896,At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice
0.896,"After 3 idk why I start feeling so depress, sad and lonely."
0.896,I sulk too much for my own good.
0.896,A night where depression is winning... #depression #fml #help
0.896,Going home is depressing
0.892,We can't even grieve over one black body before another one pops up due to pig brutality
0.888,It's a gloomy ass day
0.875,@Fra93_bruno wow I'm just really sadden by that. Terrible
0.875,My heads still in Ibiza but my body is sat at me desk at work #depressing
0.875,@Ashleyavitia_ don't leave me #sad
0.875,Depression sucks! 
0.87,It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice
0.861,This the most depressing shit ever
0.854,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch
0.854,"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy"
0.854,What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing
0.854,When you have 15 doe run the opposite side of you 🙁 #depression
0.854,The moment of the day when you have to start to plaster a smile in your face. #depression
0.839,I hate when it's gloomy outside because it always gets me in a depressing mood
0.833,People stealing things from my work out quite the damper on my day so now I am going to wear pajamas all day
0.833,@FlakeJay ring ring! #depression is here
0.833,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable #unhappy
0.833,"@xBFDR yeah I'm sure it will, it's just so depressing having to talk to my parents over the phone instead of talking to them downstairs"
0.833,| At home sick... 🎼The blues🎼 won't cure it so I need ideas 🎸😭 | #sorethroat #sick #blues #music #fallweather #carletonuniversity #ottawa
0.833,I wouldn't wish anxiety and depression even on the worst of people. It's not fun. #anxiety #depression
0.833,sorry Main twitter im in depress
0.833,"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair"
0.833,come to the funeral tomorrow at 12 to mourn the death of my gpa
0.833,"@TNFryed Jesus, you just made think that of all the Vols v fl games I've seen. I've never seen a win. #depression"
0.814,After spending £450 @Debenhams I was offered a £5 voucher. I asked if I could spend it at weekend? Was told 'no valid today only' #unhappy
0.812,Thought I had a pretty solid GPA as a kin major and now that I look at the average for dpt programs I feel even more discouraged 😪
0.812,depress 😭
0.812,"Lament a \nsaddened heart,\nso far &amp; \nyet so near,\nthe years so\ntough &amp; scarred,\nthis lonesome\nroad,\nstill feared! #depression \n\n#poetry #poem"
0.812,Summer officially ends today. #sadness
0.812,Well my evaluation came back and i am minimally effective. Student test scores on the PARCC sunk my eval. it's time for me to quit teaching
0.812,"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy"
0.812,"Oh, I should just 'get over' my #depression and 'be happy?' Don't you think I've tried that thousands of times already? You're not helping."
0.812,Im really constipated. This is depressing
0.811,When health insurance won't cover TMS but they let me know they cover ECT #mentalhealth #psychology #depression #TMS #ECT
0.81,Somewhere between  #hope and #despair the day after #meetingmyabuserincourt \n#DVSurvivor
0.806,@Christy_RTR @doge_e_fresh I'm despondent
0.792,2 applications for my dbs and still waiting. Been over a year now. Going to loose my job 👍🏿 @GOVUK  #thanks #unhappy #crb
0.792,I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now 😞
0.792,@Hayles_101 The three R's depress me.
0.792,Too many gloomy days
0.792,The weather sure matches the mood in this state today.. #gloomy
0.792,and again dirty and  self loathing attitude  mope talking
0.779,Wearing all black tomorrow as I continue to mourn the lives of the most recent victims of police brutality. #blackout #WU
0.771,Am I the only person who dislikes fall? #FirstDayofFall #leaves #thingsdie #depressing #cold #noflipflops 👎🏾👎🏽👎🏻🍂🍁
0.771,My soul is weary of fighting the battles in this world. #BlackInAmerica #WeAreNotSafe
0.771,"My prayers are with the family, friends &amp; members of @VCFD  as you mourn the loss of Engineer Ryan Osler. #LODD #RIP"
0.771,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired 
0.771,"@pureleine though lately with how bad my depression has been i feel like my body is like just, taking what little it can get"
0.771,We have left #Maine. #sadness
0.771,"so fucking sad when the person you love doesn't try fighting for your happiness, when you'd do anything for them."
0.771,@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later #sad #protest #PoliceShootings #suggestions
0.771,It's interesting the photo of Mono Lisa is crying as well as the whole scene is very depressing #ELE6200
0.771,The news is disheartening. Everything that is going on is a result of a lack of understanding and misinformation by the media. #sadness
0.771,Never ever been this unhappy before in my life lmao
0.771,@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. #unhappy
0.771,Condolences to the  JC and the Georges family.. #sad
0.767,No one wants to win the wild card because you have to play the Cubs on the road.  #sadness
0.766,Groom gloom.
0.754,I don't think I can go to work tomorrow since val has left #GBBO I need a day to mourn
0.754,Good morning lovely people. Not gonna lie I've woken up feeling pretty glum.
0.75,@6itmap I can't help but feel melancholic!
0.75,@CTV_PowerPlay @lraitt Horrid disease! My maternal grandmother and each of her sisters suffered from this affliction. It's hard on all.
0.75,If anybody needs me I'll be drowning my blues in a sea of whiskey 🍻
0.75,@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime #sad
0.75,in health we did a think about depression and now i feel like i have it
0.75,@Gaychel22 @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair 😩
0.75,So depressing that it's darker so much earlier now
0.75,@KingJames @chrisbosh\n To good hearts I lost my job I'm Responsible 2 families My Information in profile even dollar if can’t just Re-tweet
0.75,Currently unfollowing anything relating to disneyworld or Florida! #holidayblues #depressing #wantogoback 😭💔
0.75,It's just begun ladies and gents. The war on racism has begun. #sadness #Segregation continues.... smh 😒
0.75,Just wish I was appreciated for all I do! When is it my turn to be taken care of!! I want a break!! #tired #lost
0.75,"So Mary Berry, Mel and Sue have gone with their principles, and @PaulHollywood  has gone with the fame and fortune. #GBBO  #depressing"
0.75,@crimsonwulfe it's super sad!! Especially when you are talking to a real person and not a bot! Makes it feel real :(
0.74,@ily_geuly call me now I'm laying in my bed moping like I intend to do for the next 2 months.
0.729,Baaarissshhhhh + sad song =  prefect night — feeling alone
0.729,im so gloomy today
0.729,Honestly I've come to a place where I keep getting discouraged but just gotta tell myself to keep pushing through it.
0.729,. @KotakBankLtd @udaykotak official got in touch. Issue not addressed. #unhappy #patheticservices
0.729,Back in Cardiff after an amazing 10 days away 😭 #depressing
0.729,so lost i'm faded
0.729,Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n #quotes #worstenemy  #thinktoomuch
0.729,@British_Airways just came of BA6426 at @ortambo_int at least 6 passengers with broken bags. This was a new suitcase. #unhappy customer
0.729,Tell me how I'm supposed to feel. #broken #hateful #guilty #love #sadness
0.729,"tomorrow will be the last episode of despair arc, so much shit is gonna happen i'm not emotionally prepared..."
0.729,@TheZantarin Then maybe we should keep our White mouths shut and let the people being targeted speak and mourn.
0.729,@rockcock64 cum and despair
0.729,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n#TerranceCrutcher #truth #sad
0.729,i is sad
0.729,"Wanna pop some pills, sedate myself, and wake up tomorrow."
0.729,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. #sad
0.729,"It feels like there are no houses out there for us. With the most basic requirements I have, there are literally no options. #discouraged"
0.729,Don't wanna go to work but I want the money #sad
0.729,Wow the #Denver housing market is #depressing no places to buy in my range 😢 #FML
0.729,one ep of despair arc made me happy but and then i'm going back to future arc and i'm upset again.
0.729,I have not nap for 3 days in a row I'm very unhappy rn
0.729,@megalvz literally was gloomy for an hour
0.729,"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn"
0.729,"Fucking gutted, disheartened &amp; so pissed off.Gone from 1 off the toughest most resolute defences to the worst &amp; most shambolic #SCFC #STOHUL"
0.708,@TootingCommon stop!!! Don't make me laugh when I'm being sad.
0.708,Condolences to the  JC and the Georges family.. 
0.708,"@GoPro your UX online is appalling! No clear save button, not being able to use any generic TLD's #unhappy"
0.708,Literally being here makes me depress tbh
0.708,@wabermes The @RavalliRepublic had a good one but then the reporter quit. #sad
0.708,"This room is rather dreary, but we endure what we must."
0.708,where broken hearted lovers do cry away their gloom
0.708,Another grim &amp; compelling news report by @Nawalf on the blockade of aid to the starving in #Yemen #BBC #dosomethingpoliticans
0.708,@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness
0.708,@Uber_RSA when you click over and over again for a cupcake but there are no vehicles available... #sadness
0.708,Nasty nasty chilly rain has put a damper on my afternoon cigar.  This is NOT a good thing. @cspanwj And FOUR #CongressCritters tomorrow?
0.708,I got diagnosed with severe-extreme depression and I didn't know there was a difference between those two lol
0.708,#haikuchallenge #haiku\n\nThe crisp autumn air\nMy freedom purchased through death\nNo one will mourn me
0.689,Smokeys dad is sad :/
0.688,"Americans as a whole are, for the most part, feeling borderline despair at the very least. Looking at a situation out of control."
0.688,@ryyyshh story of my life. #lost
0.688,When will the weeks full of Mondays end?? #disheartened
0.688,@HannahFJames I'm distraught! 😭 Candice and her pout can piss off
0.688,@HutchinsonDave I don't know whether to despair or agitate for a cull.
0.688,Can I just sulk in peace 😂
0.688,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! ' #sad #ourworld
0.688,MY CAR IS DENTED FROM THE HAIL sad
0.688,From My head to think it was better but obviously it's not #relapse #sadness #sickness #madness #misunderstanding
0.688,@WilsonsWorld I was in high school and remember helping neighbors clean up back home in Greenville.  Pretty sobering stuff.  #sadness
0.688,I have sleep cooties.\nI close my eyes and dream that I'm awake #weary #sleepissues #narcolepsy
0.688,wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced
0.688,"I forgot my hair straightner home, I'm feeling lost without it... #lost #lostWithoutMyHairStraightener"
0.688,And I won't even get started with Hillary and her fancy fundraisers! #depressing
0.688,The underground at Waterloo is not a nice place to be at 8.30am on a Thursday #somanypeople #grim
0.688,When will the weeks full of Mondays end?? 
0.688,@Samkingftw ew omg that is so grim
0.688,@thatsabingo grim really
0.688,With loyal heart is concerned. #somber
0.688,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging. #unhappy #scam
0.688,@CNN yes. Too many cops. And too many ppl who should have lost their lives r still alive.
0.68,"If you find me lost, will you stay as a passerby or will you get lost with me? #musings #melancholy"
0.68,I'm getting use to not having a phone it's sad ..
0.675,"I'm slugging vitamin D pills by the handful, like they were m&amp;ms. When will this eternal winter end?! #Melbourne #grim #overit"
0.67,Sometimes the support network is causing the damage. \n\n #support #Damaged #alone #tired  #hurt #nojustice  #surivivor #NoMore
0.669,@JUSTICESLUT420 sadly this sort of poster died by the 90s afaik
0.667,@lucy_hyner @Soulboy2266 sadly not !! One less hour drinking time 😢🍻
0.667,I was in the dark room for 58 minutes and failed every time I tried developing a photo I'm so frustrated with myself :')
0.667,Mixed emotions. #sadness #anxietymaybe #missingfriends #growingupsucks #lostfriends #wheresthetruefriends #complications
0.667,"@Jay_2752 thank you, I shall mourn her"
0.667,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. #college
0.667,"@Gervaisoholic But this is no easy ride for a child cries: \n'Oh, find me...find me, nothing more, \nWe are on a sullen misty moor...'"
0.667,"Had to give my 11yo AfAm son this advice today: 'be polite, no sudden movements, keep hands where they can see them'. #sadness"
0.667,Man Southampton will wipe the floor with  west ham on Sunday. So disheartened
0.667,@Fly_Norwegian quite simply the #worst #airline #worstairline I've ever used! #shocking #appauling #dire #dismal #beyondajoke #useless
0.667,Hate knowing I have to get up at half 5 for gym in the morning it's so depressing
0.667,@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind #unhappy
0.667,Love all the ex United managers on Twitter who form our fanbase. Honestly I despair at times. Just back the fucking team eh #MUFC
0.667,Can we go back 2 weeks and start again ?? This is seriously dreadful
0.667,I'm honestly upset that they rewarded Nicole 500k. #depressing #paulwasrobbed #rewardhardwork #bitterjury #bb18
0.667,I haven't watched my favorite youtubers in months and it's honestly made my depression so much worse
0.667,"@midnight #EndTrumpweek please, it's #depressing me."
0.667,@MHChat I think sadness is felt very strongly physically and mentally.  It feels like it takes over and it's hard to focus at work #MHChat
0.667,@gagasklaine it's old sadly
0.667,@TDYLN sadly not :(
0.667,"#Terencecutcher #Tulsa the man onthe helicopter said he looks like a bad dude, that is the problem, when they see black they see bad, #sad"
0.667,@KatHeartwell some don't see the difference between courting and appealing to a women vs deception &amp; pressure it's depressing
0.667,It's way too hard not to get discouraged.
0.667,as a very depressed and suicidal person seeing someone sing about their own depressing life yet having fun is very relatable and encouraging
0.667,I've returned from the dead with a desire to clean the apartment and eat something that isn't garbage. #managing #depression
0.667,@WestHamUtd poor service tonight to find season ticket holders in the seats we purchased online. Forced to move further away #unhappy
0.667,Even a pencil✏ never #stayed  with me until it's #end ⚫ 😞
0.667,so gutted i dropped one of my earrings down the sink at school
0.661,Having holiday blues! #WantToGoBackToMinehead.
0.66,I'd rather die alone then end up with somebody who can't be sober
0.654,I don't think it's fully sunk in that Val is gone yet
0.653,Hate being sober so I popped two
0.646,"It's pretty clear I can't stand @HillaryClinton, no tolerance for habitual liars. Not a Trump fan either so what's a citizen to do? #despair"
0.646,"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant"
0.646,"@X_KIMTAEHYUNG_X \n— momentarily before it disappeared, only solemnity and anxiety lacing his features. \n\n'I ran out to get you before —"
0.646,All the 'juniors' are now wearing purple at ollafest while I'm here fighting with my alarm about when I need to wake up for German #sadness
0.646,The fact I haven't had to wear a bra for a week and knowing I'll have to start wearing one again after tomorrow is depressing 🙄🙄
0.646,Liam is too distant makes me mourn 😪
0.646,It's now September and we're still battling a situation that was said to be handled March of this year. @ATT this is unacceptable 
0.646,This weather got me fucked up. Like you either be sunny and hot or gloomy and cold. No in between.
0.646,@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! #sad
0.646,Life is too short so dont shoot it in with worries sadness and grief.
0.646,Brb going to sulk in bed until Friday
0.646,"@LVLMLeah Nooooooooooooooooooooo. We have stupid, dismal, lame winters where we maybe get some dangerous ice once."
0.646,#RIPKara i could have seen her at a local mall or any school football games. im disheartened
0.646,@RossKemp great programme tonight #sad #upsetting #extremeworld
0.64,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru #sad #tumblr
0.64,"But when my mom told me yesterday that it was looking grim and I started driving out there, I was told to turn around b/c she was too sick"
0.636,Isn't the whole 'it's been hijacked' argument the same argument used to ban or discourage the display of the St George's Cross? Shame @LBC
0.625,I don't want the pity of my instructors but I'd like some understanding. I'm truly trying despite ALL circumstances that make me discouraged
0.625,@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process #sadness
0.625,"If Payet goes either in Jan or @ the seasons end, can't say I blame him. The boy must b so disheartened by what he's seeing at the mo."
0.625,@laureeenwillam can't cope wi her sour face and tiny pout 😡😡
0.625,"There's many things I don't care about, and many things I do that I don't speak on because it's such a heaviness even when released..."
0.625,@knology has providing customers w/equipment that doesn't deliver speeds of internet services that they have been charging.  #scam
0.625,"@happyandbashful Flirt, simper, pout, repeat. Yuck."
0.625,@el_tityboi bc it's a gloomy day Tony
0.625,@rupindxr my heart actually sunk looooool I was so confused
0.625,@jack_haug_lifty @eable It's Ms btw. we were lied to by Remain. dry your remainer tears; Just accept you #lost
0.625,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.
0.625,I wonder what would happen if I were a father. #weary
0.625,@AmyMek this is so absurd I could laugh right now (if I also didn't feel like crying for the future of our country). #despair #wakeupcall
0.625,@MxJackMonroe I couldn't get on with it either. Bits started drooping that shouldn't droop. GP said mooncup alone to blame.
0.625,@TaylaStJames it happens and Vegas isn't the only origin thats prevelant #sadly
0.625,I'll just have to #eat my way to #sobriety. This'll be a hell of a journey back to #sober
0.625,When you have 15 doe run the opposite side of you 🙁 
0.625,"@Theshadeshit91 \nOh, I'm sorry about it, do not be sad yourself there is nothing important in the world to grieve about it"
0.625,"Because of 'failure of delivery on time', a customer has to pay 16K rupees more! - Not good @tiagotatamotors @TataMotors #unhappy"
0.624,@everton_de_leon @sterushton Genuinely grim stuff. Over a century of history sold off by some porn baron twats for a minty new stadium. Urgh
0.618,It's sad when your man leaves work a little bit late and your worst fear is 'Oh no!! Did he get stopped by the police?!?! '  #ourworld
0.613,"@CCTakato at least in crystal every part of it is portrayed as being WRONG, the dark atmosphere, the fact that mamoru is brainwashed"
0.604,"Way too cool to die young, way too young to die sober.. #tunechi"
0.604,@RevTrevK @Wolfman93011 @Daraidernation @EROCKhd Take 2k out of it the numbers on madden are low and have dropped and people are unhappy
0.604,I have no clue where my charger is... #lost
0.604,@JohnRMoffitt This is the most grim piece of laughter I was stricken with all day.
0.604,Some moving clips on youtube tonight of the vigil held at Tulsa Metropolitan Baptist church for #TerenceCruther #justice #anger #sadness
0.604,"Having a nail half hanging off is absolutely fucking grim, even with my acrylic holding it on 😷😷"
0.604,Lost: Geelong football team. \nLast seen entering through the banner not sure where they've been since... #unhappy #playwithsomeheart
0.604,@deshbhakthoon always unhappy and easily offended.
0.604,What a sad day...1st day of Fall...I don't dislike Fall...I just LOVE Summer #FirstDayofFall #goodbyesummer #sadness #bathingsuitsforever
0.604,@tgshepherdvan I'm not there yet. Hasn't sunk in yet. Rest up.
0.604,Awareness of time is awareness of time lost. #awareness #time #lost
0.604,@ImpugnValkyrie *I frown and cup your cheeks in my hands after you step aside.* Angela I care about you. And I don't know how else I can -
0.604,Gonna be a loooooong year as a Browns fan. Longer than normal and that's #sad
0.604,@TalesofanAlfa @David_Milloy \nI like your thinking...but sadly no - that's the shed 😢
0.604,"When the sadness leaves you broken in your bed, I will hold you in the depths of your despair, and it's all in the name of love 🎶"
0.604,Theyve substituted the hood for a badge and gun.' Public opinion is indictment of Charlotte police. #dark #sadtimes #america #race
0.604,@MCFCDenver doing the exact same minus the beer sadly
0.604,i miss the guy who always make me sulk
0.604,Let us not burden our remembrances with a heaviness that's gone.\n- William Shakespeare (1564-1616)\n#forge ahead.
0.604,Cause fail or pass I refuse to be sober
0.604,@eehbahmum WHY?! Did they want to make you plummet in to the depths of despair??
0.604,@NewYorker @donlemon Trump presidency-a dark age for the USA and the world. He would most definitely take us to war. Short &amp; Long term pain
0.604,So unbelievably discouraged with music as of late. Incredibly behind on Completing my album. Not digging this at all.
0.604,Hennessey - dreadful. Mutch - is he even on the pitch? Fryers - out of his depth unfortunately. #CPFC
0.604,if you're unhappy with someone just fucking tell them you're unhappy and leave. Don't go fuckin around with other people on the side
0.604,"conflicting reports on mama #RitaMarley health,mannn and i woke up today feeling like mi ole self(rejoice!!)now dis #sadness"
0.604,How can you blame the manager watching these players play? It's abysmal. Our team are dreadful. If Jose can't save us. No-one can.  #mufc
0.604,The Sorrow is grim reminder of how bad I can be at video games and how I could get a bit too trigger happy at times. RIP #MGS3
0.604,"Im kind of confused.  The one thing i do right now has a great future, but on the other hand so does the new thing . #lost #needhelp"
0.604,@V_of_Europe @ckolacia MSM relentlessly saying DT can't win to: depress GOP turnout &amp; provide cover 4 stolen election!
0.604,The voice is all about Miley and Alicia this year. No longer about the contestants. #sad @thevoice
0.583,@chocorobos I have this one so I'm not so sad.. but wtf
0.583,Right i may be an #sufc fan and the football maybe shit but marcos rojo for #mufc has had a shocking start he's just dreadful
0.583,"I get discouraged because I try for 5 fucking years a contact with Lady Gaga but are thousands of tweets, how she would see my tweet? :("
0.583,"@big_SL8 Show some respect, that's all...  If u havent go to war u cant say anything.. U havent lost friends and mates on war, so Ahut it!!"
0.583,"Had to give up on The Blue Guitar, couldn't stand main character. Sort of skim-read to the end which got grim and unsettling . . . 1/2"
0.583,First a coat. Now a pair of sunglasses. Next it'll be a limb. #lost
0.583,Some of these people at this protest are just there for the adrenaline rush. #depressing
0.583,whenever i pout i just want Adrian to appear and tell me to stop pouting or else
0.583,And there is despair underneath each and every action \nEach and every attempt to pierce the armour of numbness ' -Mgla
0.583,"Please bear with me, I'm not Twitter savvy😝 in real life I'm a Facebook person. Help me gain followers 🤓#blog #selfhelp #depression"
0.583,she's always so insensitive whenever i grieve idgi
0.583,@stevesingiser @POLITICO_Steve Put a damper on my mood.
0.583,We lost
0.583,@FantasyGuruSite I knew you were going to do that. I would definitely buy if I didn't live in Texas where you can't play DFS. ... so depress
0.583,Romero is fucking dreadful like seriously my 11 month old is better than him.
0.583,"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness"
0.583,My friends tell me I'm pretty. Trigger tells my I'm ugly. I first was confused but then realised I'm both. Pretty ugly. #tru  #tumblr
0.583,"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. #sad"
0.583,@DoubleEph sadly his best days are behind him
0.583,"@groovydadad @MHChat 🙂ty I often conflate the two depression + sadness, but they are very different. This q reminded me of that #mhchat"
0.583,Don't let the behavior of others destroy ur inner peace.' -Dalai Lama @OWNTV #healing #depression #anxiety #intuition #meditation #book
0.583,@AerLingus #business class #Los Angeles to Dublin #destroyed luggage #60 day customer response time #unhappy customer
0.583,@JlKelly1 @FJ_Berry I've got #teampaella presents on their way for you and Fi but I don't think they'll arrive by Saturday sadly!! ;)
0.583,"stg I been in pine bluff all morning and to piss me off even more, my damn shoes came in as a size 4!!!!!! I KNOW I SAID 6🙄🙄🙄🙄 FML"
0.583,@Ashleyavitia_ don't leave me 
0.575,"@PaulJonMilne too grim, too insanely, determined to hurt you from"
0.574,"@comicfire The thing is, it's either I be unproductive and unhappy, or deal with some videos that do badly."
0.571,@keyshamackie it's fucking dreadful for live footy matches
0.563,"Eating an egg is grim, you are eating the material embodiment of a fart and an unborn chick"
0.562,you never call me when your sober
0.562,come on let's make em hate 😘make em pout they face 👿😩.
0.562,@Jacqueline_69 haha! She did well today. I can't get beyond her pout annoying me I'm afraid.
0.562,Hope was an instinct only the reasoning human mind could kill. An animal never knew despair.
0.562,Patti seems so sad. She stamped and ran behind the sofa. We will have to give her plenty of love and affection...more than usual. 
0.562,Dylon felt dejected. He has a dejected aunt!
0.562,"Two blankets, a hoody, and still no Eternal Sunshine to mope to."
0.562,Once I have sent a pitch to a brand I close all tabs relevant to them instantly. Thats the kind of detachment I create for myself. #serious
0.562,Nature looks a lot greener on gloomy dayz
0.562,@JamesWickham Congratulations!  My top home-owning tip: try not to look at your mortgage balance too often.  The slowness will depress you.
0.562,The new lock sound is grim
0.562,Nothings #Working-you're feeling your life's on The Edge_Could go either way #lost all reason for #Living-JesusChristHealsSavesASK #fatloss
0.562,@khloe_speaks sad music
0.562,Think Val might be going this week. I'll have to take the rest of the week off work to mourn. I'm sure they'll understand. #GBBO
0.562,"3 weeks into the course and have had the kitchen sink thrown at me, I m still pulling knives and forks out of my ears"
0.562,Gaaaaaaaad! Should have stayed in London!
0.562,"@marksandspencer Where has your 50% grapefruit squash gone,not been able to get for weeks #unhappy"
0.562,I mourn the creativity lost.
0.562,"@Jinath_Hyder I can't have alcohol on it, sadly, but it only flares up under very specific circumstances so I just need to be more careful"
0.561,Add Donte Moncrief to my dismal situation #blessed.
0.548,Shoutout to the drunk man on the bus who pissed in a bottle and on the seats #grim
0.542,U know u have too much on ur mind when u find yourself cleaning a stove and kitchen by yourself  at almost 3am...  #pensive
0.542,@TxDMV @ArkansasBBB i filled out the report on #baitswitch by @Carvana lets go get them fines levied. #badbusiness #honoryourdeal #unhappy
0.542,Itching something #serious RN haven't slept but considering taking like 6 Benadryl for a 20 min nap I am itching SO BADLY wow
0.542,@TVsCarlKinsella They're such garbage. Obviously I like that they suck but it's still grim to watch.
0.542,"For a team as big as Bayern and the they like to play football, their pitch is fucking dreadful. Certainly no Emirates pitch anyway."
0.542,Angry shouting match between a #pessimist &amp; an #optimist:\n'You're a half empty-headed @%$!' \n'You're half full of @%$!'
0.542,*Still waits for Yang. Guess she really needs her sleep or something. Kittens feeling kinda dejected right now.* #Offline
0.542,"@OnesOwnGrief Just a shame his world was gloom from day one almost.Though it makes sense he'd have the whole part hydra,part s.h.i.e.l.d(c)"
0.542,How do u grieve someone who legally wasn't a person yet?
0.542,It's so gloomy outside. I wish it was as cold as it looked
0.542,@British_Airways #lost #bag #stillwaiting go home in2days. DM'd you my info and have rung 9times a day. What more can I do? #wheresmybag
0.542,"When you saw a t-shirt with the phrase 'My mind is a dangerous place to be' and you would like to buy, but in Italy don't sell it. #sadness"
0.542,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!😢💞😩
0.542,Trying to take what's lost and broken and make it right
0.542,@LondonMidland #dobetter only two carriages on 14:49 Birmingham to Hereford no room to stand anymore Friday commute #unhappy
0.542,It's become a verb. 'I'm gonna Villaseñor all those old contacts I don't need anymore.' #sadness @melissavcomedy #waitingforexplanation
0.542,@HillaryClinton @TheDemocrats It's ok 2 be disgusted or dishearten with presidential race but don't let that stop u from voting IT MATTERS
0.542,5am blues while riding a cab home:\n- my belly is much bigger than the rest of my body\n- but i couldnt be preggy\n- how to lose it in a day
0.542,Ill say it again. If I was a Black man Id be afraid to leave my house or have a moving violation.\n\n #TerranceCrutcher #truth 
0.542,"@narcissusheiyan  maybe it'd have been different if I stayed for sixth form? But still, the oppressive architecture, uninteresting people"
0.542,@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth #sad
0.542,"What's good is that we already hit rock bottom, even though I'm about two more seasons away from new depths of despair. #playoffs? #NJDevils"
0.542,"Absolutely can not believe the generosity pouring out for us, but Id give everything I have for Nick to be healthy and happy. #lost"
0.542,i got his bitch depress
0.542,@Groupon_UK who do I contact about a shocking experience with Clear Sky Holidays booked through you guys?? #customerservicefail #dreadful
0.542,"@cotsonika @NHL well, they should all be unhappy for the way they played.  Right @fmjacob ??"
0.542,"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them..."
0.542,Regret for the things we did can be tempered by time; it is regret for the things we did not do that is inconsolable.  Sydney J. Harris
0.542,untypical kinda Friday #dull
0.542,"My oldest cat pisses me off. She's always been weary of Kennen (senile kinda), but recently shes been sweet. Until she attacked and bit him."
0.542,@WestermannNina xDD it's a song that can not be weary (?)
0.542,Feels grim not having your nails done
0.541,"How could such a crooked,stuck up,delusional,dim&amp; #dark hearted dud be surprised losing&amp;prob also ppl won't let their crimes drop! #nwo imo"
0.521,That AK47 leave your spine with a frown
0.521,a good shorty has so much to offer &amp; it's sad that some of you niggas don't even see it when she right in front of your face and too late
0.521,@theJeremyVine Noel Edmonds reckons a cat he's talking to is stressed because of the uncertainty over #GBBO future!?!? #plot #lost
0.521,One way ticket to the blues.
0.521,@SWP_Roads   How dull.
